k,sum,cmy,label,old_label
7.94,8.690000000000001,1.125,750,21
3.64,6.02,3.57,500,13
10.21,10.21,0.0,750,14
11.03,11.03,0.0,750,14
11.18,11.18,0.0,750,14
10.87,10.87,0.0,750,14
11.24,11.24,0.0,750,14
10.93,10.93,0.0,750,14
10.98,10.98,0.0,750,14
10.91,10.91,0.0,750,14
11.3,11.3,0.0,750,14
10.99,10.99,0.0,750,14
10.95,10.95,0.0,750,14
11.17,11.17,0.0,750,14
10.88,10.88,0.0,750,14
11.31,11.31,0.0,750,14
11.54,11.54,0.0,750,14
11.0,11.0,0.0,750,14
10.98,10.98,0.0,750,14
11.09,11.09,0.0,750,14
11.22,11.22,0.0,750,14
10.99,10.99,0.0,750,14
10.97,10.97,0.0,750,14
11.12,11.12,0.0,750,14
11.37,11.37,0.0,750,14
8.14,11.42,4.92,750,21
43.08,157.95999999999998,172.32,2000,28
0.06,0.06,0.0,500,27
2.94,15.6,18.990000000000002,1000,2
2.66,3.1500000000000004,0.735,500,25
3.74,4.36,0.9299999999999999,500,13
1.39,1.61,0.33,500,34
4.39,5.91,2.2800000000000002,500,29
3.92,12.58,12.99,1000,33
6.5,23.380000000000003,25.320000000000004,1500,5
0.06,0.06,0.0,500,27
3.66,5.29,2.445,500,13
3.1,4.62,2.2800000000000002,500,13
4.25,5.83,2.37,500,29
0.06,0.06,0.0,500,27
3.72,5.12,2.0999999999999996,500,13
4.57,6.1000000000000005,2.295,500,37
4.06,5.51,2.1750000000000003,500,29
4.65,6.19,2.31,500,37
4.68,6.22,2.31,500,37
4.95,6.550000000000001,2.4000000000000004,500,37
5.01,6.6,2.385,500,37
4.57,6.1000000000000005,2.295,500,37
4.55,6.08,2.295,500,37
5.05,6.65,2.4000000000000004,500,37
4.74,6.29,2.325,500,37
4.43,5.94,2.265,500,29
4.65,6.19,2.31,500,37
4.86,6.42,2.34,500,37
4.62,6.16,2.31,500,37
4.82,6.4,2.37,500,37
4.8,6.359999999999999,2.34,500,37
4.47,5.98,2.265,500,29
5.27,6.9,2.445,500,36
4.26,5.75,2.235,500,29
4.71,6.27,2.34,500,37
5.18,6.8,2.43,500,36
4.64,6.17,2.295,500,37
4.31,5.8,2.235,500,29
4.45,5.96,2.265,500,29
4.93,6.51,2.37,500,37
4.42,5.92,2.25,500,29
0.06,0.06,0.0,500,27
2.37,3.55,1.77,500,25
3.3,4.63,1.995,500,13
3.4,4.74,2.0100000000000002,500,13
1.0,1.97,1.455,500,34
5.11,13.65,12.809999999999999,1000,19
6.43,15.24,13.215,1000,30
14.34,50.57000000000001,54.345000000000006,2000,26
0.06,0.06,0.0,500,27
4.94,6.67,2.5949999999999998,500,37
4.78,6.54,2.64,500,37
4.85,6.56,2.565,500,37
4.52,6.25,2.5949999999999998,500,29
4.45,6.11,2.4899999999999998,500,29
6.83,19.96,19.695,1500,3
6.45,19.32,19.305,1500,8
6.86,19.35,18.735000000000003,1500,3
4.42,15.21,16.185000000000002,1000,2
7.17,22.950000000000003,23.67,1500,5
6.6,21.81,22.815,1500,12
6.54,22.03,23.235,1500,12
6.17,21.51,23.009999999999998,1500,12
6.4,21.56,22.740000000000002,1500,12
4.32,15.75,17.145,1000,2
7.31,22.3,22.485000000000003,1500,15
6.67,21.18,21.765,1500,12
6.59,21.17,21.869999999999997,1500,12
6.41,21.14,22.095,1500,12
6.51,21.05,21.81,1500,12
4.73,15.94,16.814999999999998,1000,39
6.84,20.68,20.759999999999998,1500,3
6.89,20.97,21.12,1500,3
5.35,17.619999999999997,18.405,1500,0
5.46,15.93,15.705000000000002,1000,11
6.68,19.79,19.665,1500,1
6.32,19.92,20.400000000000002,1500,1
6.43,20.24,20.714999999999996,1500,1
6.29,19.89,20.400000000000002,1500,1
6.23,19.86,20.445,1500,1
6.16,19.73,20.354999999999997,1500,1
5.8,18.62,19.23,1500,0
5.8,18.59,19.185000000000002,1500,0
6.42,20.08,20.490000000000002,1500,1
6.46,20.18,20.580000000000002,1500,1
6.37,20.02,20.475,1500,1
6.27,19.83,20.339999999999996,1500,1
6.26,19.89,20.445,1500,1
5.84,18.58,19.11,1500,0
5.67,18.51,19.259999999999998,1500,0
6.2,19.78,20.369999999999997,1500,1
6.28,20.05,20.655,1500,1
6.16,19.73,20.354999999999997,1500,1
6.11,19.72,20.415,1500,1
6.06,19.59,20.294999999999998,1500,1
5.69,18.48,19.185000000000002,1500,0
5.93,18.69,19.14,1500,1
6.57,20.21,20.46,1500,1
6.61,20.31,20.549999999999997,1500,1
6.52,20.16,20.46,1500,1
6.42,19.95,20.294999999999998,1500,1
6.42,20.03,20.415000000000003,1500,1
6.0,18.7,19.049999999999997,1500,1
6.43,21.47,22.560000000000002,1500,12
6.98,22.76,23.67,1500,5
7.05,23.03,23.97,1500,5
6.94,22.75,23.714999999999996,1500,5
6.9,22.73,23.745,1500,5
6.82,22.56,23.610000000000003,1500,5
6.69,21.56,22.305,1500,12
5.91,17.049999999999997,16.709999999999997,1000,9
4.79,14.829999999999998,15.059999999999999,1000,39
3.05,8.42,8.055,750,18
0.06,0.06,0.0,500,27
18.49,76.03999999999999,86.32499999999999,2000,31
0.06,0.06,0.0,500,27
4.51,6.119999999999999,2.415,500,29
4.46,6.17,2.565,500,29
5.61,7.380000000000001,2.6550000000000002,500,36
4.96,6.74,2.67,500,37
3.76,5.24,2.2199999999999998,500,13
4.83,6.6,2.6550000000000002,500,37
2.69,4.02,1.995,500,25
5.24,15.46,15.330000000000002,1000,39
4.83,14.86,15.045000000000002,1000,39
6.05,16.52,15.705000000000002,1000,9
6.4,16.759999999999998,15.54,1000,9
5.66,16.34,16.02,1000,11
4.87,14.73,14.79,1000,39
6.29,17.08,16.185,1000,9
6.1,17.369999999999997,16.905,1000,9
4.18,13.52,14.01,1000,38
4.83,14.83,15.0,1000,39
5.58,17.64,18.09,1500,0
7.45,21.98,21.795,1500,15
7.19,19.65,18.69,1500,3
5.63,17.39,17.64,1500,0
5.59,17.82,18.345,1500,0
7.11,20.29,19.77,1500,3
4.7,15.8,16.65,1000,39
4.94,16.39,17.174999999999997,1500,0
6.44,18.61,18.255,1500,8
5.89,18.31,18.630000000000003,1500,1
6.76,16.27,14.265,1000,30
5.34,14.34,13.5,1000,19
5.66,15.06,14.100000000000001,1000,9
4.76,12.58,11.73,1000,19
4.12,12.6,12.72,1000,33
4.34,12.35,12.015,1000,38
6.61,19.1,18.735,1500,8
5.95,18.19,18.360000000000003,1500,1
6.31,20.12,20.715,1500,1
6.78,19.52,19.11,1500,3
6.28,19.04,19.14,1500,1
6.47,20.42,20.924999999999997,1500,1
7.14,19.22,18.12,1500,3
13.51,94.68,121.755,2000,20
0.06,0.06,0.0,500,27
5.53,7.4,2.805,500,36
5.0,6.8,2.7,500,37
5.28,7.12,2.7600000000000002,500,36
5.08,6.9,2.73,500,37
5.03,6.83,2.7,500,37
4.83,6.61,2.67,500,37
2.66,4.09,2.1450000000000005,500,25
7.07,19.05,17.97,1500,3
6.35,18.15,17.700000000000003,1500,8
5.78,16.990000000000002,16.815,1000,9
4.82,14.23,14.115,1000,19
6.66,16.46,14.700000000000001,1000,30
6.64,16.51,14.805000000000001,1000,30
6.56,16.509999999999998,14.924999999999999,1000,30
6.55,16.53,14.97,1000,30
6.62,23.270000000000003,24.975,1500,5
6.27,23.14,25.305,1500,12
8.58,26.880000000000003,27.450000000000003,1500,17
8.33,25.3,25.455,1500,16
5.53,19.86,21.495,1500,0
6.22,22.49,24.405,1500,12
6.01,22.81,25.200000000000003,1500,12
4.98,15.54,15.84,1000,39
4.09,14.47,15.569999999999999,1000,2
5.28,15.75,15.705000000000002,1000,11
4.76,15.85,16.634999999999998,1000,39
3.83,14.79,16.44,1000,2
5.11,16.24,16.695,1500,0
7.21,20.58,20.055,1500,3
5.33,16.98,17.475,1500,0
6.53,21.130000000000003,21.900000000000002,1500,12
7.03,20.16,19.695,1500,3
5.89,17.35,17.19,1000,9
7.19,17.93,16.11,1500,3
7.8,21.0,19.8,1500,15
6.39,20.26,20.805,1500,1
7.26,23.12,23.79,1500,5
7.17,19.8,18.945,1500,3
7.06,18.26,16.8,1500,3
6.78,17.89,16.665,1500,8
7.12,18.22,16.65,1500,3
6.81,18.56,17.625,1500,8
6.64,18.3,17.490000000000002,1500,8
4.39,13.239999999999998,13.274999999999999,1000,38
4.63,13.37,13.11,1000,38
5.68,16.4,16.080000000000002,1000,11
6.11,17.650000000000002,17.310000000000002,1000,9
5.02,16.38,17.04,1500,0
5.83,17.67,17.759999999999998,1500,0
5.1,15.61,15.765,1000,39
4.28,14.8,15.78,1000,2
5.33,16.060000000000002,16.095,1000,11
7.02,18.9,17.82,1500,3
7.65,19.59,17.91,1500,3
8.21,22.28,21.105,1500,16
6.28,18.13,17.775,1500,8
16.19,59.75,65.34,2000,7
0.06,0.06,0.0,500,27
5.33,7.02,2.535,500,36
4.38,6.08,2.55,500,29
3.55,5.08,2.2950000000000004,500,13
4.83,6.61,2.67,500,37
4.4,6.17,2.6550000000000002,500,29
4.57,6.32,2.625,500,37
4.18,5.82,2.46,500,29
4.69,6.44,2.625,500,37
5.25,7.05,2.7,500,36
5.3,7.15,2.7750000000000004,500,36
4.72,6.449999999999999,2.5949999999999998,500,37
4.85,6.64,2.685,500,37
3.93,5.54,2.415,500,29
4.66,6.41,2.625,500,37
4.94,6.69,2.625,500,37
4.85,6.64,2.685,500,37
4.57,6.28,2.565,500,37
5.03,6.84,2.715,500,37
4.49,6.16,2.505,500,29
4.74,6.5200000000000005,2.67,500,37
5.06,6.83,2.6550000000000002,500,37
4.8,6.58,2.67,500,37
4.28,5.91,2.445,500,29
6.83,19.2,18.555,1500,3
6.01,18.72,19.065,1500,1
6.56,19.05,18.735,1500,8
7.16,19.75,18.884999999999998,1500,3
7.0,19.85,19.275000000000002,1500,3
6.17,18.75,18.87,1500,1
6.79,19.17,18.57,1500,3
6.58,19.48,19.349999999999998,1500,8
6.03,18.82,19.185,1500,1
6.62,19.38,19.14,1500,8
7.01,20.03,19.53,1500,3
6.21,18.96,19.125,1500,1
6.75,19.11,18.54,1500,3
6.6,19.52,19.379999999999995,1500,8
6.06,18.83,19.155,1500,1
6.56,19.17,18.915,1500,8
6.84,19.83,19.485,1500,3
6.09,18.78,19.035,1500,1
6.67,19.0,18.495000000000005,1500,8
6.84,19.79,19.425,1500,3
