sum,cmy,label,label_30
8.690000000000001,0.75,500,3
6.02,2.38,500,3
10.21,0.0,750,21
11.03,0.0,750,21
11.18,0.0,750,21
10.87,0.0,750,21
11.24,0.0,750,21
10.93,0.0,750,21
10.98,0.0,750,21
10.91,0.0,750,21
11.3,0.0,750,21
10.99,0.0,750,21
10.95,0.0,750,21
11.17,0.0,750,21
10.88,0.0,750,21
11.31,0.0,750,21
11.54,0.0,750,21
11.0,0.0,750,21
10.98,0.0,750,21
11.09,0.0,750,21
11.22,0.0,750,21
10.99,0.0,750,21
10.97,0.0,750,21
11.12,0.0,750,21
11.37,0.0,750,21
11.42,3.28,750,10
157.95999999999998,114.88,2000,7
0.06,0.0,500,19
15.6,12.66,1000,14
3.1500000000000004,0.49,500,16
4.36,0.62,500,16
1.61,0.22,500,16
5.91,1.52,500,3
12.58,8.66,1000,12
23.380000000000003,16.880000000000003,1500,25
0.06,0.0,500,19
5.29,1.63,500,28
4.62,1.52,500,28
5.83,1.58,500,3
0.06,0.0,500,19
5.12,1.4,500,28
6.1000000000000005,1.53,500,3
5.51,1.4500000000000002,500,3
6.19,1.54,500,3
6.22,1.54,500,3
6.550000000000001,1.6,500,3
6.6,1.5899999999999999,500,3
6.1000000000000005,1.53,500,3
6.08,1.53,500,3
6.65,1.6,500,3
6.29,1.55,500,3
5.94,1.51,500,3
6.19,1.54,500,3
6.42,1.56,500,3
6.16,1.54,500,3
6.4,1.58,500,3
6.359999999999999,1.56,500,3
5.98,1.51,500,3
6.9,1.63,500,3
5.75,1.49,500,3
6.27,1.56,500,3
6.8,1.62,500,3
6.17,1.53,500,3
5.8,1.49,500,3
5.96,1.51,500,3
6.51,1.58,500,3
5.92,1.5,500,3
0.06,0.0,500,19
3.55,1.18,500,16
4.63,1.33,500,28
4.74,1.34,500,28
1.97,0.97,500,16
13.65,8.54,1000,12
15.24,8.81,1000,6
50.57000000000001,36.230000000000004,2000,15
0.06,0.0,500,19
6.67,1.73,500,3
6.54,1.76,500,3
6.56,1.71,500,3
6.25,1.73,500,3
6.11,1.66,500,3
19.96,13.129999999999999,1500,18
19.32,12.87,1500,1
19.35,12.490000000000002,1500,1
15.21,10.790000000000001,1000,26
